maxsimulationtime=1000	models=Manhattan	locationinitializer=Null	maps=Manhattan	vlines=50,250,450,	dir12lanespace=5	width=500	hlines=50,250,450,	height=500	rangealgorithms=NullPowerAlgorithm	maxacceleration=2	maxspeed=10	fixedacceleration=false	minspeed=5	maxpausetime=10	positiveaccratio=2.0	safedistanceratio=2.0	nodenumber=10	defaultfilter=edu.sharif.ce.dml.common.data.trace.filter.DirectoryFilter	fileaddress=output	isinput=false	multiple=false	filenamegenerator=simple	seed=outputtrace	numberiterate=true	tracewriter=text
Time	Node	PositionX	PositionY	Speed	Direction Angle	Range
47	3	50	309	7051	-1057	0
47	4	255	333	0079	1057	0
47	5	450	360	6022	-1057	0
47	6	450	0	701	-1057	0
47	7	165	450	1075	0	0
47	8	250	50	10	0	0
47	9	450	250	10	0	0
48	0	250	250	0	0	0
48	1	450	208	10	-1057	0
48	2	250	193	9043	-1057	0
48	3	50	300	8044	-1057	0
48	4	255	333	0038	1057	0
48	5	450	353	6065	-1057	0
48	6	455	8	8002	1057	0
48	7	168	450	3039	0	0
48	8	250	40	10	-1057	0
48	9	450	250	10	0	0
49	0	250	250	0	0	0
49	1	450	198	10	-1057	0
49	2	250	186	7052	-1057	0
49	3	50	292	8012	-1057	0
49	4	255	334	1002	1057	0
49	5	450	346	609	-1057	0
49	6	455	17	9057	1057	0
49	7	173	450	4061	0	0
49	8	250	30	9004	-1057	0
49	9	458	250	8065	0	0
50	0	250	250	0	0	0
50	1	450	189	9069	-1057	0
50	2	250	177	808	-1057	0
50	3	50	284	8023	-1057	0
50	4	255	336	2014	1057	0
50	5	450	339	7003	-1057	0
50	6	455	26	9013	1057	0
50	7	178	450	4071	0	0
50	8	250	21	9048	-1057	0
50	9	468	250	10	0	0
51	0	250	250	0	0	0
51	1	450	179	10	-1057	0
51	2	250	167	9044	-1057	0
51	3	50	275	9007	-1057	0
51	4	255	337	0083	1057	0
51	5	450	330	8083	-1057	0
51	6	455	35	8088	1057	0
51	7	181	450	3056	0	0
51	8	250	11	10	-1057	0
51	9	477	250	9004	0	0
52	0	250	250	0009	-1057	0
52	1	450	169	10	-1057	0
52	2	250	159	8008	-1057	0
52	3	50	268	7031	-1057	0
52	4	255	340	2062	1057	0
52	5	450	323	7042	-1057	0
52	6	455	45	10	1057	0
52	7	185	450	4025	0	0
52	8	250	1	10	-1057	0
52	9	486	250	9024	0	0
53	0	250	249	0032	-1057	0
53	1	450	159	10	-1057	0
53	2	250	151	8022	-1057	0
53	3	50	261	6089	-1057	0
53	4	255	342	205	1057	0
53	5	450	317	6023	-1057	0
53	6	455	50	10	1057	0
53	7	190	450	5009	0	0
53	8	250	0	10	-1057	0
53	9	495	250	8016	0	0
54	0	250	249	0043	-1057	0
54	1	450	149	10	-1057	0
54	2	250	145	6029	-1057	0
54	3	50	255	6075	-1057	0
54	4	255	345	2061	1057	0
54	5	450	309	7071	-1057	0
54	6	455	55	8062	3014	0
54	7	195	450	4012	0	0
54	8	255	0	10	1057	0
54	9	500	250	9035	0	0
55	0	250	249	0	-1057	0
55	1	450	139	10	-1057	0
55	2	250	137	7052	-1057	0
55	3	42	255	7026	3014	0
55	4	255	348	3032	1057	0
55	5	450	300	9002	-1057	0
55	6	445	55	9001	3014	0
55	7	199	450	4088	0	0
55	8	255	10	10	1057	0
55	9	500	255	9082	3014	0
56	0	250	248	0086	-1057	0
56	1	450	129	10	-1057	0
56	2	250	129	8007	-1057	0
56	3	34	255	806	3014	0
56	4	255	350	1073	1057	0
56	5	450	290	10	-1057	0
56	6	438	55	7076	3014	0
56	7	206	450	6016	0	0
56	8	255	20	10	1057	0
56	9	490	255	10	3014	0
57	0	250	246	202	-1057	0
57	1	450	119	10	-1057	0
57	2	250	120	9062	-1057	0
57	3	24	255	9064	3014	0
57	4	255	352	2001	1057	0
57	5	450	280	10	-1057	0
57	6	430	55	7077	3014	0
57	7	211	450	5065	0	0
