Iter,refId,refPX,refPY,cmpId,cmpPX,cmpPY
159,9,293,303,7,251,333
159,9,293,303,8,306,264
160,1,252,185,3,249,201
160,2,256,269,8,302,260
160,2,256,269,9,285,304
160,3,249,201,1,252,185
160,7,256,329,9,285,304
160,8,302,260,2,256,269
160,8,302,260,9,285,304
160,9,285,304,2,256,269
160,9,285,304,7,256,329
160,9,285,304,8,302,260
161,1,256,190,3,253,197
161,2,250,261,8,297,256
161,2,250,261,9,276,304
161,3,253,197,1,256,190
161,7,260,326,9,276,304
161,8,297,256,2,250,261
161,8,297,256,9,276,304
161,9,276,304,2,250,261
161,9,276,304,7,260,326
161,9,276,304,8,297,256
162,1,260,196,3,258,194
162,2,244,254,8,293,252
162,3,258,194,1,260,196
162,7,264,322,9,270,304
162,8,293,252,2,244,254
162,9,270,304,7,264,322
163,1,265,201,2,239,246
163,1,265,201,3,262,191
163,1,265,201,8,289,249
163,2,239,246,1,265,201
163,3,262,191,1,265,201
163,7,268,318,9,267,300
163,8,289,249,1,265,201
163,9,267,300,7,268,318
164,1,269,206,2,233,238
164,1,269,206,3,266,187
164,1,269,206,8,284,245
164,2,233,238,1,269,206
164,3,266,187,1,269,206
164,7,273,315,9,265,295
164,8,284,245,1,269,206
164,9,265,295,7,273,315
165,1,273,211,2,227,231
165,1,273,211,3,270,184
165,1,273,211,8,280,241
165,2,227,231,1,273,211
165,2,227,231,3,270,184
165,3,270,184,1,273,211
165,3,270,184,2,227,231
165,7,277,311,9,262,291
165,8,280,241,1,273,211
165,9,262,291,7,277,311
166,1,277,216,3,274,180
166,1,277,216,8,275,237
166,3,274,180,1,277,216
166,7,281,308,9,260,287
166,8,275,237,1,277,216
166,9,260,287,7,281,308
167,1,282,221,3,278,177
167,1,282,221,8,271,233
167,3,278,177,1,282,221
167,7,285,304,9,257,282
167,8,271,233,1,282,221
167,8,271,233,9,257,282
167,9,257,282,7,285,304
167,9,257,282,8,271,233
168,1,286,227,8,267,230
168,7,290,300,9,255,278
168,8,267,230,1,286,227
168,8,267,230,9,255,278
168,9,255,278,7,290,300
168,9,255,278,8,267,230
169,1,290,232,8,262,226
169,1,290,232,9,252,274
169,7,294,297,9,252,274
169,8,262,226,1,290,232
169,8,262,226,9,252,274
169,9,252,274,1,290,232
169,9,252,274,7,294,297
169,9,252,274,8,262,226
170,1,294,237,8,258,222
170,1,294,237,9,249,269
170,7,298,293,9,249,269
170,8,258,222,1,294,237
170,8,258,222,9,249,269
170,9,249,269,1,294,237
170,9,249,269,7,298,293
170,9,249,269,8,258,222
171,0,146,227,2,193,184
171,1,299,242,7,302,290
171,1,299,242,8,254,218
171,2,193,184,0,146,227
171,7,302,290,1,299,242
171,8,254,218,1,299,242
171,8,254,218,9,247,265
171,9,247,265,8,254,218
172,1,303,247,7,307,286
172,7,307,286,1,303,247
172,8,249,214,9,244,261
172,9,244,261,8,249,214
173,1,307,252,7,311,282
173,7,311,282,1,307,252
173,8,245,211,9,242,256
173,9,242,256,8,245,211
174,1,311,258,7,315,279
174,7,315,279,1,311,258
174,8,240,207,9,239,252
174,9,239,252,8,240,207
175,1,316,263,7,320,275
175,7,320,275,1,316,263
175,8,236,203,9,236,248
175,9,236,248,8,236,203
176,1,320,268,7,324,272
176,7,324,272,1,320,268
176,8,232,199,9,234,243
176,9,234,243,8,232,199
177,1,324,273,7,328,268
177,7,328,268,1,324,273
177,8,227,196,9,231,239
177,9,231,239,8,227,196
178,1,329,278,7,332,264
178,7,332,264,1,329,278
178,8,223,192,9,229,235
178,9,229,235,8,223,192
179,1,333,283,7,337,261
179,7,337,261,1,333,283
179,8,219,188,9,226,230
179,9,226,230,8,219,188
180,1,337,289,7,341,257
180,7,341,257,1,337,289
180,8,214,184,9,223,226
180,9,223,226,8,214,184
181,1,341,294,7,345,254
181,7,345,254,1,341,294
181,8,210,180,9,221,222
181,9,221,222,8,210,180
182,1,346,299,7,349,250
182,7,349,250,1,346,299
182,8,206,177,9,218,217
182,9,218,217,8,206,177
183,3,344,122,6,383,125
183,6,383,125,3,344,122
183,8,201,173,9,216,213
183,9,216,213,8,201,173
184,3,348,118,6,374,129
184,6,374,129,3,348,118
184,8,197,169,9,213,209
184,9,213,209,8,197,169
185,3,352,115,6,365,134
185,6,365,134,3,352,115
185,8,192,165,9,211,204
185,9,211,204,8,192,165
186,3,356,111,6,356,138
186,6,356,138,3,356,111
186,8,188,162,9,208,200
186,9,208,200,8,188,162
187,3,360,108,6,347,142
187,6,347,142,3,360,108
187,8,184,158,9,205,196
187,9,205,196,8,184,158
188,3,365,105,6,338,146
188,6,338,146,3,365,105
188,8,179,154,9,203,191
188,9,203,191,8,179,154
189,3,369,101,6,329,150
189,6,329,150,3,369,101
189,8,175,150,9,200,187
189,9,200,187,8,175,150
190,8,171,146,9,198,182
190,9,198,182,8,171,146
191,2,126,94,8,166,143
191,8,166,143,2,126,94
191,8,166,143,9,195,178
